image_name,question
seoul_station.jpg,이 역의 이름은 무엇인가요?
seoul_station.jpg,이 역의 영어 이름은 무엇인가요?
seoul_station.jpg,이 역의 각 운영기관별 역 번호는 무엇인가요?
"seoul_station.jpg","이 역은 몇 개의 노선에 속해 있으며, 각각 어떤 운영기관이 관리하나요?"
seoul_station.jpg,이 역은 유실물 센터를 운영하나요? 노선별로 다른가요?
seoul_station.jpg,서울역의 각 노선별 개통일(신설일자)은 언제인가요?
"seoul_station.jpg","이 역은 KTX, 공항철도, 광역철도 중 어떤 노선을 지원하나요?"
seoul_station.jpg,이 역에는 안전발판이나 스크린도어가 설치되어 있나요?
seoul_station.jpg,이 역의 도로명 주소와 위도·경도 좌표는 어떻게 되나요?
chungjeongno_station.jpg,지금 몇 시인가요
chungjeongno_station.jpg,이 역을 운영하는 철도기관은 어디인가요?
chungjeongno_station.jpg,이 역에서는 몇 개 노선이 환승되나요?
chungjeongno_station.jpg,이 역 다음의 역의 주소는 어디인가요?
chungjeongno_station.jpg,이 전광판은 몇호선에 관한 정보를 주고있나요?
chungjeongno_station.jpg,이 역과 방향역 중 위도 기준으로 더 북쪽에 있는 역은 어디인가요?
"chungjeongno_station.jpg","충정로역은 5호선 소속인데, 같은 이름의 경의중앙선 충정로역과 주소가 어떻게 다른가요?"
chungjeongno_station.jpg,이 역의 역사진번호는 어떻게 되나요?
chungjeongno_station.jpg,이 역에서 유실물을 취급하나요?
hapjeong_station.jpg,이 역의 이름은 무엇인가요?
hapjeong_station.jpg,이 역은 몇호선인가요?
hapjeong_station.jpg,이 역은 언제 개통되었나요?
hapjeong_station.jpg,이 역 다음 도착하는 역의 이름은 뭔가요?
hapjeong_station.jpg,이 호선의 가장 끝에있는 역의 이름은 무엇인가요?
"hapjeong_station.jpg","이 역 안내판의 디자인과 색상을 근거로, 이 역이 포함된 지하철 노선을 예측하고 근거를 설명하세요."
hapjeong_station.jpg,이 역과 다음 역까지의 직선거리는 몇 KM인가요?
"hapjeong_station.jpg","이 역과 홍대입구역의 위경도를 비교해, 두 역 중 어느 쪽이 북쪽에 위치하는지 설명하세요."
hapjeong_station.jpg,이 역에는 스크린도어가 설치되어있나요?
hapjeong_station.jpg,이 역은 승강장이 연결되어있나요?
gupo_station.jpg,이 역과 가장 가까운 역 두 개를 찾으세요.
gupo_station.jpg,이 역은 몇년도에 개통 되었나요?
"gupo_station.jpg","이 역의 다음 역은 어떤 역인지 설명하고, 그 역의 한자 표기의 의미를 고려할 때 그 역은 어떤 피지컬적 특징이 있었을 가능성이 높을 지 설명하세요."
"gupo_station.jpg","사상 → 구포 → 화명 방향이 상행인지 하행인지, 그리고 그 기준은 무엇인가요?"
subway_map_1.jpg,공덕역은 몇 개의 노선이 지나는 환승역인가요?
subway_map_1.jpg,효창공원앞역은 공덕역과 환승이 가능한가요?
subway_map_1.jpg,서울역과 공덕역의 도로명 주소를 각각 알려주세요.
subway_map_1.jpg,이 사진에서 경의중앙선과 관련된 역을 나열하세요.
subway_map_1.jpg,애오개 역은 몇호선인가요?
subway_map_1.jpg,애오개역과 관련있는 역을 그림에서 하나 찾으세요.
"subway_map_1.jpg","서울역에서 삼각지역까지 환승 없이 도달할 수 있는 가장 빠른 경로는 무엇이며, 해당 경로를 따라 지나가는 모든 역을 나열해주세요."
"subway_map_1.jpg","서울역, 공덕역, 효창공원앞 역 지정 중 가장 서쪽에 위치한 역은 어디인가요?"
"subway_map_1.jpg","이 노선도의 시각적 표현 방식(선 색, 환승 표현 등)은 일반적인 지하철 지도와 어떤 차별성을 가지나요?"
nonhyeon_station.png,이 역은 어떤 노선에 속해 있나요?
nonhyeon_station.png,논현역은 언제 개통되었나요?
nonhyeon_station.png,논현역은 9호선 외에 다른 노선과 환승이 가능한가요?
nonhyeon_station.png,논현역의 운영기관은 어디인가요?
nonhyeon_station.png,이 역의 역사번호를 알려주세요
